comment_id,video_id,text,author_id,author,published_at,bot_probability
99240f3df572561a42211f9488e392a2,dQWfdEyorm8,Bot,UCRhqsKtRw5E-mZEQeQxh1Dg,@cathyosbourne6986,2025-12-07T20:43:57Z,0.5792072046687438
77ef9fb7def3daced32b27955dada640,RwW4UYoX19s,Bot,UC2cl91cbKomx_Uq8iXKG7PQ,@georgiaconservative3253,2025-12-08T01:40:54Z,0.5729727329960572
66fdb8c44b822600b11a06e19ca42055,RwW4UYoX19s,Clickbait,UCOKCLPDExZWCM8daXh_4SZA,@carladamcarter,2025-12-08T02:08:15Z,0.5640328828560782
6e530631ff0a0dac79c0ea10baf79af1,t15c3-pYSYo,true,UCO2V1AWXi-yVwKzgqV2nH4Q,@fidelcatsro6948,2025-12-08T00:01:40Z,0.5637955760053881
3032ca38d8d439ca4bfde7076a7e32e9,RwW4UYoX19s,🤡,UCNfN8yv7gGSgHsGjUbEylQA,@awadnofal,2025-12-08T01:05:38Z,0.5596999017565578
4956db5fc2733d94f65be73eb690e280,RwW4UYoX19s,old news,UCWKPnFneanj_B7shGGgwZCQ,@Jaxon1776,2025-12-08T01:05:38Z,0.5568098931410326
92e01b5246dc95b12f959fb048d00219,CSDVZnK1RBI,❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤,UC0YcEzp5kHXRcF1YKNUKvxw,@caroleewalker5546,2025-12-08T01:50:27Z,0.5479003715841959
61b419ad8a5f4c4d6ed2870664c5da06,t15c3-pYSYo,True that!!!,UCIQBv2RttoqyMt-WvYIcthg,@anabriseno4516,2025-12-07T23:34:34Z,0.5454583247321045
af2cf817ecb4fd5893724601c08bf48d,e478dy0CKYE,"Currently ,   Bible prophecy is being fulfilled . The Bible is a book of prophecy. Approximately 
30% of the Bible is about prophecy.
The earth is going to go through a time of tribulation.
The Great Tribulation  will be a time of distress that human kind has never experience before.
Earth will soon enter into this  time  of tribulation, and 
Bible prophecy wil be fulfilled.
True christians  (saved from sin by Jesus  )　will be raptured,
(lifted to heavenby Jesus)
but merely nominal  christians  
(those who are christians in name only ) will  remain 
on the earth. 
The second prophecy tells that 
Israel will be attacked like 
never before .
as  far  as  what happens first,
the order of prophecies 1,2,&3 might change.
1. All Christians in the world will disappear at once.
You might get an image of that if 
you watched the  movie
""LeftBehind "" but 
I think the Rapture will be incomparable  to the movie.
The movie cannot be compared 
with reality when the Rapture occurs.
2. Damascus ,the capital of Syria,will be destroyed.
3. The countries of Russia,Iran, and Turkey will attack Israel.
God will miraculously give 
Israel the victory in this battle.
The rise of the anti- Christ will occur  when he is 
welcomed as the new world leader.
He will confirm a peace treaty with Israel for seven years.
This will begin the Great 
Tribulation, which will last for 
seven years.
The anti-Christ will lie to the 
world about why Christians
disappear. For example,
the anti-Christ might lie and say 
that extraterrestrials snatched 
people who don't believe
in aliens from outer space.
During the Great Tribulation there will be famines, desease,
epidemics and pandemics 
and many kind of natural disasters. During this era of time 
in human history, hardships 
will happen like never before
experienced by human beings.
The anti-Christ will cause 
the Jews to rebuild the temple
in Jerusalem.
This has been difficult to achieve.
The anti-Christ will also cause 
the Jews to restore the 
ritual sacrifices in the temple.
The false  prophet (maybe a 
Roman catholic pope )
will create and lead a one 
world religion. After  three  and 
a half years,the  anti-christ   declare he is god, and 
make people worship him.
The anti-Christ will also break 
the peace treaty with Israel
after three and a half years.
The anti-Christ will coerce all 
people to take a mark of 666 in 
their right hand or forehead.
This mark might be a bar code 
or microchip .
The Bible says that those 
people who refuse to take  the 
mark will not be able to 
buy  or sell, and will be beheaded.
The people left behind who are 
repentant  Christians  will 
reject  the anti-Christ and his 
mark, so will be killed.
The people who followed the 
anti-Christ and took the 
mark of the beast will cast into 
the everlasting fire because
of God's forewarned judgment.
Those people who didn't 
follow the anti-Christ and who 
refused to take the mark of 
the beast, will go to be 
with God in heaven at last.
The Bible says that we should
never take that mark.
Jesus Christ's second coming 
will be at the Mount of Olives 
at the end of the seven 
years  of the Great Tribulation .
Then Christ will begin  1000 years of His earthly 
Kingdom.
Bible prophecy has been fulfilled 
in the past, but there is also 
still more that the Bible says  about  prophecy that will 
be  fulfilled  in the future.
Now, currently, today  is  the 
time to accept God's saying 
grace, before the beginning
of the Great Tribulation.
Those  people who believe that
Jesus Christ died on the cross 
for their sins, they will go to 
heaven  to be with Him .
Believing this is the priority 
above everything else.
I hope that many people will 
choose this before it's too late.",UC7cz6zV7mS5rGMRxUas6C0Q,@りこ-k6n,2025-12-08T01:39:14Z,0.5425010756083584
ca56adfcd936dc6959012c292ebb4126,t15c3-pYSYo,❤,UCagIZOfDsOMnpUlPDWMJwuA,@freepalestine-freetheworld,2025-12-08T00:20:40Z,0.5388570628640541
70692a46668d62461c3ba1aedc7f6e68,oylbyE5Zt0Q,Release the Epstein files,UC_2UYrJRM73YNU-B4qemTrQ,@billmcgee2066,2025-12-08T01:44:16Z,0.531687560864837
121a2b2c5e12dcce0507e0cd9e47675c,rChcwSozre8,I look forward to a new America where conservative thought is BANNED,UCytLsgUhn4p3T-s4W_cXlVQ,@NATALIA-s9,2025-12-08T02:32:42Z,0.521164536686562
5ec5dc2c03a437921e786a9496974902,ofdg2vg2Dkc,Sleepy Don,UCVnX0AuBuPu8SkZ9ihdewyg,@mariac7069,2025-12-08T02:33:51Z,0.5209819760781463
5fffac1a598429c775aa7ea796fcff87,RwW4UYoX19s,This is a reupload,UC_5n637j5McBzZx-elorBYw,@KIDKAT888,2025-12-08T00:52:25Z,0.5203770647291271
07b8fba611dd2f9bd26b01fdbe4f38b7,t15c3-pYSYo,Horrific 😈,UCdc_1jpwlLLJE-52Uksi16w,@donnagiamo1158,2025-12-08T01:22:09Z,0.5180208696613499
9d4706c5148911e89117bd574a08740b,RwW4UYoX19s,100%,UCIky-V0TsQvzfLMh5EoKwAg,@paultoseland9524,2025-12-07T22:50:18Z,0.5174078206246955
994c1d560cb5d8ae92a9a65524a1a8d5,t15c3-pYSYo,"# Oh BTW # WORLD.?. Now the ISR Regime Bibi, TRUMP, KUSHNER and WITCOF Are Talking about GOING To OPEN The Gaza Crossing but ^ ONLY ^ (# ONE WAY yes Only for THE PALESTINIANS TO GO OUT) ^ And/or Bibi State's the Palestinians can CHOOSE Their Own FAITH.???? ...But the EGYPTIANS are NOT Yet INFORMED And/or are even in AGREEMENT to have Thousands of Palestinian REFUGEES FLEE to the SINAI Desert???  
Why, why do IDF Bomb the UNARMED Palestinian Civilian's Tents? And More and more Innocent Lives Lost, more Impunity from the Cowardly ISL governments and the IDF are Unforgivable, During the... (TRUMP/ISRAELI CEASE FIRE...WHAT CEASE FIRE...REALY???.) These people are totally Inhuman in the ISRL Regime and the IDF are sick Satanic Demons Who, WILL NOT STOP their Cold-Blooded Killings of Unarmed Palestinian Children & Civilians, they have NO other purpose in life, they are just Mentally Too Far Gone, there is No Humanity Left in them, Despicable!!!",UCNnutMbASwOmPdPIQaDakDw,@Rose-k6o5v,2025-12-07T23:35:12Z,0.5164728948193973
c59db7311e62afde6335924534f08a91,CSDVZnK1RBI,1000%,UC7LG2DFFip1zwPY5kTBGZlQ,@Cookontherun7391,2025-12-08T02:05:41Z,0.5150464033319931
f787e34aa952cfeba9f6c2c71dce289c,t15c3-pYSYo,F 🇮🇱 and them Zionists so evil!!!! They’re the real terrorists,UCv-nyH9Rk1qFFlewyDo0w3w,@bobbysochocki4521,2025-12-08T02:00:11Z,0.5138138785281137
14ad7181aac2450645636a1b5f99136a,rChcwSozre8,Explain how?,UCxm1uq58gOhHKy_4Onhj9ww,@rickgrims-qy3jq,2025-12-08T02:23:36Z,0.5122232904292969
84a9c3c8e17c16f427e60ad2655c46d1,dQWfdEyorm8,Re upload,UCc6OGvvNjXV6JYjEnYGQuYQ,@judastheman,2025-12-07T20:05:51Z,0.5120180484478397
7363137423dc8f63a747fefa3fe8beb2,t15c3-pYSYo,Thank you,UCEbA8_JGLpxNfvs9O1wq7Wg,@fk73771,2025-12-08T01:08:00Z,0.512016214605586
1edf2c062b9cd53a228f0769f52158e4,RwW4UYoX19s,"THE ARMENIAN GENOCIDE BY THE TURKS: was the systematic destruction of the Armenian people and identity in the Ottoman Empire during World War I. Spearheaded by the ruling Committee of Union and Progress (CUP), it was implemented primarily through the mass murder of around 1,500,000 (1.5 Million) Armenians during death marches to the Syrian Desert and the forced Islamization of others, primarily women and children. Before World War I, Armenians occupied a somewhat protected, but subordinate, place in Ottoman society.",UC1A99LkMRpVEIBC06zFEx4w,@GerardDupont-g6o,2025-12-08T00:54:29Z,0.5109730671958281
4164c6e3a0d330452799203aafec1e78,RwW4UYoX19s,Bye bye,UCl8rraLDCGraLxFrdhCFCKQ,@derry3344ii,2025-12-07T22:41:48Z,0.5101277986893822
967cee81f2ff3f13a1660869c40144ae,RwW4UYoX19s,"Have you have a clown show, comedian?  I would enjoy seeing you perform. 🎉🎉🎉",UCJVc95IKw5OX5pNYDkw8oSw,@berealandread3107,2025-12-07T22:59:49Z,0.5100259834222359
e2d36b47c8dfd89db62098d7148f253e,t15c3-pYSYo,I agree 👍,UCQiQ59Azd6oSCvMmogMLNLg,@markmaterio7130,2025-12-08T00:51:18Z,0.5096547462443821
