comment_id,video_id,text,author_id,author,published_at,bot_probability
99240f3df572561a42211f9488e392a2,dQWfdEyorm8,Bot,UCRhqsKtRw5E-mZEQeQxh1Dg,@cathyosbourne6986,2025-12-07T20:43:57Z,0.5795589997141058
77ef9fb7def3daced32b27955dada640,RwW4UYoX19s,Bot,UC2cl91cbKomx_Uq8iXKG7PQ,@georgiaconservative3253,2025-12-08T01:40:54Z,0.5733152807083102
66fdb8c44b822600b11a06e19ca42055,RwW4UYoX19s,Clickbait,UCOKCLPDExZWCM8daXh_4SZA,@carladamcarter,2025-12-08T02:08:15Z,0.5647265901410841
6e530631ff0a0dac79c0ea10baf79af1,t15c3-pYSYo,true,UCO2V1AWXi-yVwKzgqV2nH4Q,@fidelcatsro6948,2025-12-08T00:01:40Z,0.5638438562613293
3032ca38d8d439ca4bfde7076a7e32e9,RwW4UYoX19s,🤡,UCNfN8yv7gGSgHsGjUbEylQA,@awadnofal,2025-12-08T01:05:38Z,0.5601022039496399
4956db5fc2733d94f65be73eb690e280,RwW4UYoX19s,old news,UCWKPnFneanj_B7shGGgwZCQ,@Jaxon1776,2025-12-08T01:05:38Z,0.5571204014281573
61b419ad8a5f4c4d6ed2870664c5da06,t15c3-pYSYo,True that!!!,UCIQBv2RttoqyMt-WvYIcthg,@anabriseno4516,2025-12-07T23:34:34Z,0.545835449733099
a9f544e0816fd2e50bf6c7a44b61f6b0,6EtReGSuvdY,Trump is in office cause the voters were tricked by Trump lies during the elections.,UC8T48awbkaLWNlepJ0ib3rA,@GeorGina-U,2025-12-08T02:56:56Z,0.5378702884067539
5fffac1a598429c775aa7ea796fcff87,RwW4UYoX19s,This is a reupload,UC_5n637j5McBzZx-elorBYw,@KIDKAT888,2025-12-08T00:52:25Z,0.5209180046398029
121a2b2c5e12dcce0507e0cd9e47675c,rChcwSozre8,I look forward to a new America where conservative thought is BANNED,UCytLsgUhn4p3T-s4W_cXlVQ,@NATALIA-s9,2025-12-08T02:32:42Z,0.5205493701791839
07b8fba611dd2f9bd26b01fdbe4f38b7,t15c3-pYSYo,Horrific 😈,UCdc_1jpwlLLJE-52Uksi16w,@donnagiamo1158,2025-12-08T01:22:09Z,0.5185070825733423
ca56adfcd936dc6959012c292ebb4126,t15c3-pYSYo,❤,UCagIZOfDsOMnpUlPDWMJwuA,@freepalestine-freetheworld,2025-12-08T00:20:40Z,0.5180152531196965
